ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
1593	Gangwon	Eight	ja-tal	ja-tal	dʑ a t a l		34_eight-1	271	dʑ a t a l	C V C V C	dʑ a t a l	dʑ a t a l	C V C V C
1399	Gyeonggi	Eight	je-təl	je-təl	dʑ e t ə l		34_eight-1	271	dʑ e t ə l	C V C V C	dʑ e t ə l	dʑ e t ə l	C V C V C
1689	Hwanghae	Eight	ja-tɨl	ja-tɨl	dʑ a t ɨ l		34_eight-1	271	dʑ a t ɨ l	C V C V C	dʑ a t ɨ l	dʑ a t ɨ l	C V C V C
131	Jeju	Eight	ja-tal	ja-tal	dʑ a t a l		34_eight-1	271	dʑ a t a l	C V C V C	dʑ a t a l	dʑ a t a l	C V C V C
2322	MKorean	Eight	ja-tɨp	ja-tɨp	dʑ a t ɨ p		34_eight-1	271	dʑ a t ɨ p	C V C V C	dʑ a t ɨ p	dʑ a t ɨ p	C V C V C
1165	NChungcheong	Eight	je-təl	je-təl	dʑ e t ə l		34_eight-1	271	dʑ e t ə l	C V C V C	dʑ e t ə l	dʑ e t ə l	C V C V C
827	NGyeongsang	Eight	ja-tal	ja-tal	dʑ a t a l		34_eight-1	271	dʑ a t a l	C V C V C	dʑ a t a l	dʑ a t a l	C V C V C
1892	NHamgyong	Eight	ja-tɨp	ja-tɨp	dʑ a t ɨ p		34_eight-1	271	dʑ a t ɨ p	C V C V C	dʑ a t ɨ p	dʑ a t ɨ p	C V C V C
457	NJeolla	Eight	ja-tal	ja-tal	dʑ a t a l		34_eight-1	271	dʑ a t a l	C V C V C	dʑ a t a l	dʑ a t a l	C V C V C
2110	NPyongan	Eight	ja-tɨl	ja-tɨl	dʑ a t ɨ l		34_eight-1	271	dʑ a t ɨ l	C V C V C	dʑ a t ɨ l	dʑ a t ɨ l	C V C V C
992	SChungcheong	Eight	je-təl	je-təl	dʑ e t ə l		34_eight-1	271	dʑ e t ə l	C V C V C	dʑ e t ə l	dʑ e t ə l	C V C V C
636	SGyeongsang	Eight	ja-tal	ja-tal	dʑ a t a l		34_eight-1	271	dʑ a t a l	C V C V C	dʑ a t a l	dʑ a t a l	C V C V C
1788	SHamgyong	Eight	ja-tɨl	ja-tɨl	dʑ a t ɨ l		34_eight-1	271	dʑ a t ɨ l	C V C V C	dʑ a t ɨ l	dʑ a t ɨ l	C V C V C
298	SJeolla	Eight	ja-dak	ja-dak	dʑ a d a k		34_eight-1	271	dʑ a d a k	C V C V C	dʑ a d a k	dʑ a d a k	C V C V C
2001	SPyongan	Eight	ja-t'ɨl	ja-t'ɨl	dʑ a t͈ ɨ l		34_eight-1	271	dʑ a t͈ ɨ l	C V C V C	dʑ a t͈ ɨ l	dʑ a t͈ ɨ l	C V C V C
1403	Gyeonggi	Fifty	swin	swin	s w i n		41_fifty-1	284	s w i - n	C C V C	s w i - n	s w i n	C C V C
2326	MKorean	Fifty	swin	swin	s w i n		41_fifty-1	284	s w i - n	C C V C	s w i - n	s w i n	C C V C
1169	NChungcheong	Fifty	swi-ɨn	swi-ɨn	s w i ɨ n		41_fifty-1	284	s w i ɨ n	C C V V C	s w i ɨ n	s w i ɨ n	C C V V C
830	NGyeongsang	Fifty	sin	sin	s i n		41_fifty-1	284	s - i - n	C V C	s - i - n	s i n	C V C
460	NJeolla	Fifty	swi-un	swi-un	s w i u n		41_fifty-1	284	s w i u n	C C V V C	s w i u n	s w i u n	C C V V C
996	SChungcheong	Fifty	swi-un	swi-un	s w i u n		41_fifty-1	284	s w i u n	C C V V C	s w i u n	s w i u n	C C V V C
639	SGyeongsang	Fifty	si-in	si-in	s i i n		41_fifty-1	284	s - i i n	C V V C	s - i i n	s i i n	C V V C
1590	Gangwon	Five	ta-sə	ta-sə	t a s ə		44_five-1	288	t a s ə	C V C V	t a s ə - -	t a s ə	C V C V
1396	Gyeonggi	Five	ta-sət	ta-sət	t a s ə		44_five-1	288	t a s ə	C V C V	t a s ə t -	t a s ə t	C V C V C
2319	MKorean	Five	ta-sət	ta-sət	t a s ə		44_five-1	288	t a s ə	C V C V	t a s ə t -	t a s ə t	C V C V C
1163	NChungcheong	Five	ta-sə	ta-sə	t a s ə		44_five-1	288	t a s ə	C V C V	t a s ə - -	t a s ə	C V C V
824	NGyeongsang	Five	ta-sə	ta-sə	t a s ə		44_five-1	288	t a s ə	C V C V	t a s ə - -	t a s ə	C V C V
991	SChungcheong	Five	ta-sə-k'e	ta-sə-k'e	t a s ə		44_five-1	288	t a s ə	C V C V	t a s ə k͈ e	t a s ə k͈ e	C V C V C V
633	SGyeongsang	Five	ta-sə	ta-sə	t a s ə		44_five-1	288	t a s ə	C V C V	t a s ə - -	t a s ə	C V C V
1589	Gangwon	Four	nə-i	nə-i	n ə i		48_four-1	293	n ə - i	C V V	n ə - i -	n ə i	C V V
1395	Gyeonggi	Four	net	net	n e		48_four-1	293	n e - -	C V	n e - - t	n e t	C V C
1688	Hwanghae	Four	nə-hi	nə-hi	n ə h i		48_four-1	293	n ə h i	C V C V	n ə h i -	n ə h i	C V C V
2318	MKorean	Four	ne	ne	n e		48_four-1	293	n e - -	C V	n e - - -	n e	C V
1162	NChungcheong	Four	nə-ə-i	nə-ə-i	n ə ə i		48_four-1	293	n ə ə i	C V V V	n ə ə i -	n ə ə i	C V V V
823	NGyeongsang	Four	nɛt	nɛt	n ɛ		48_four-1	293	n ɛ - -	C V	n ɛ - - t	n ɛ t	C V C
455	NJeolla	Four	nə-i	nə-i	n ə i		48_four-1	293	n ə - i	C V V	n ə - i -	n ə i	C V V
2108	NPyongan	Four	nə-i	nə-i	n ə i		48_four-1	293	n ə - i	C V V	n ə - i -	n ə i	C V V
990	SChungcheong	Four	nə-ə-i	nə-ə-i	n ə ə i		48_four-1	293	n ə ə i	C V V V	n ə ə i -	n ə ə i	C V V V
632	SGyeongsang	Four	ne	ne	n e		48_four-1	293	n e - -	C V	n e - - -	n e	C V
295	SJeolla	Four	ne	ne	n e		48_four-1	293	n e - -	C V	n e - - -	n e	C V
1999	SPyongan	Four	nə-i	nə-i	n ə i		48_four-1	293	n ə - i	C V V	n ə - i -	n ə i	C V V
1577	Gangwon	I	nɛ-e	nɛ-e	n ɛ		65_i-1	320	n ɛ	C V	n ɛ e	n ɛ e	C V V
1376	Gyeonggi	I	na	na	n a		65_i-1	320	n a	C V	n a -	n a	C V
2299	MKorean	I	na	na	n a		65_i-1	320	n a	C V	n a -	n a	C V
811	NGyeongsang	I	nɛ	nɛ	n ɛ		65_i-1	320	n ɛ	C V	n ɛ -	n ɛ	C V
445	NJeolla	I	nɛ	nɛ	n ɛ		65_i-1	320	n ɛ	C V	n ɛ -	n ɛ	C V
979	SChungcheong	I	nɛ	nɛ	n ɛ		65_i-1	320	n ɛ	C V	n ɛ -	n ɛ	C V
620	SGyeongsang	I	nɛ	nɛ	n ɛ		65_i-1	320	n ɛ	C V	n ɛ -	n ɛ	C V
1594	Gangwon	Nine	a-hɨp	a-hɨp	a h ɨ p		94_nine-1	376	a h ɨ p	V C V C	a h ɨ p	a h ɨ p	V C V C
1400	Gyeonggi	Nine	a-hop	a-hop	a h o p		94_nine-1	376	a h o p	V C V C	a h o p	a h o p	V C V C
132	Jeju	Nine	a-hɨp	a-hɨp	a h ɨ p		94_nine-1	376	a h ɨ p	V C V C	a h ɨ p	a h ɨ p	V C V C
2323	MKorean	Nine	a-hop	a-hop	a h o p		94_nine-1	376	a h o p	V C V C	a h o p	a h o p	V C V C
1166	NChungcheong	Nine	a-hɨp	a-hɨp	a h ɨ p		94_nine-1	376	a h ɨ p	V C V C	a h ɨ p	a h ɨ p	V C V C
828	NGyeongsang	Nine	a-hɨp	a-hɨp	a h ɨ p		94_nine-1	376	a h ɨ p	V C V C	a h ɨ p	a h ɨ p	V C V C
458	NJeolla	Nine	a-hɨp	a-hɨp	a h ɨ p		94_nine-1	376	a h ɨ p	V C V C	a h ɨ p	a h ɨ p	V C V C
2111	NPyongan	Nine	a-hup	a-hup	a h u p		94_nine-1	376	a h u p	V C V C	a h u p	a h u p	V C V C
993	SChungcheong	Nine	a-hɨp	a-hɨp	a h ɨ p		94_nine-1	376	a h ɨ p	V C V C	a h ɨ p	a h ɨ p	V C V C
